Designator,Mid X,Mid Y,Layer,Rotation
BT1,151.12,-96.51,T,180
C5,159.39,-100.22,T,180
C109,180.675,-104.65,T,0
C110,167.2,-108.204,T,180
C111,169.325,-103.225,T,90
C112,170,-101.75,T,180
C113,167.45,-106.125,T,180
C114,182.6,-105.85,T,0
C115,172.45,-111.6,T,-90
C116,175.05,-111.7,T,-90
C117,171.575,-100.8,T,90
C118,173.175,-101.075,T,180
C119,165.5,-106.21,T,180
C120,190.6,-100.8,T,-90
C121,185.05,-100.875,T,90
J1,185.925,-116.425,T,-90
J2,157.3226,-97.0026,T,90
J3,149.515,-106.67,T,-90
J4,188.375,-108.625,T,90
R1,166.825,-103.625,T,0
R2,158.91,-113.46,T,-90
R3,160.59,-114.1,T,180
R5,180.65,-106.5,T,0
R_302,166.878,-104.75,T,0
U3,175.075,-106,T,0
U_301,161.65,-105.45,T,0
Y1,187.7,-101.1,T,0
