"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric";1;"10uF";;;
2;"J9,J7";"Molex_Micro-Fit_3.0_43650-0300_1x03_P3.00mm_Horizontal";2;"Conn_01x03";;;
3;"J1,J3,J2,J4";"PinHeader_2x12_P2.54mm_Vertical_SMD";4;"Conn_02x12_Odd_Even";;;
4;"J11";"Molex_CLIK-Mate_502494-0270_1x02-1MP_P2.00mm_Horizontal";1;"Conn_01x02";;;
5;"U1";"HOPERF_RFM9XW_SMD";1;"RFM96W-433S2";;;
6;"G***";"ham";1;"LOGO";;;
7;"JP1";"TestPoint_Pad_D1.0mm";1;"Conn_01x01_Female";;;
8;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3_Pad_Via";4;"MountingHole_3.2mm_M3_Pad_Via";;;
9;"G***";"axes";1;"LOGO";;;
10;"J10,J8";"Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal";2;"Conn_01x02";;;
11;"X1";"uFL";1;"uFL/SMA";;;
12;"G***";"ISS_LOGO_extreme small";1;"LOGO";;;
13;"G***";"TARS MK3";1;"LOGO";;;
