"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D5";"D_0805_2012Metric";1;"LED";;;
2;"U7";"D24V50F5";1;"D24V50F5";;;
3;"U5";"D36V28F3";1;"D36V28F9";;;
4;"D3";"LED_0805_2012Metric";1;"ORANGE";;;
5;"J1,J3,J2,J4";"PinHeader_2x12_P2.54mm_Vertical_SMD";4;"Conn_02x12_Odd_Even";;;
6;"D2";"LED_0805_2012Metric";1;"GREEN";;;
7;"R3,R1";"R_0805_2012Metric";2;"200kOhm";;;
8;"C1,C2";"C_0805_2012Metric";2;"LOAD_C";;;
9;"JP3,JP6,JP1,JP4,JP5,JP2";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";6;"Jumper_2_Open";;;
10;"R20,R21";"R_0805_2012Metric";2;"1k";;;
11;"R10,R6,R2,R23,R13,R8,R22,R7,R9,R4,R5,R15,R19,R14";"R_0805_2012Metric";14;"100kOhm";;;
12;"U2";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-A";;;
13;"R16,R17";"R_0805_2012Metric";2;"150Ω";;;
14;"D4";"LED_0805_2012Metric";1;"LED";;;
15;"D1";"D_0805_2012Metric";1;"D";;;
16;"U6";"D36V28F3";1;"D36V28F3";;;
17;"G***";"troll";1;"LOGO";;;
18;"U1";"SOT-23-5";1;"LK112M33TR";;;
19;"U4,U3";"D36V50F6-TARS";2;"D36V50F6";;;
20;"J5";"PinSocket_2x03_P2.54mm_Vertical";1;"AVRISP";;;
21;"Y1";"Crystal_SMD_5032-2Pin_5.0x3.2mm";1;"8Mhz";;;
22;"S1";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Reset";;;
23;"R18";"R_0805_2012Metric";1;"10k";;;
