"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"JP102,JP104,JP101,JP103,JP204";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";5;"Jumper_NC_Small";;;
2;"U101";"LGA-24L_3x3.5mm_P0.43mm";1;"LSM9DS1";;;
3;"U102";"LGA-8_3x5mm_P1.25mm";1;"MS5611-01BA";;;
4;"U1";"General Sensor Module - 8x10 pin";1;"ISS_SENSOR_SUITE_V_1";;;
5;"U103";"LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y";1;"H3LIS331DL";;;
6;"JP203";"SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm";1;"Jumper_NC_Small";;;
7;"U8001";"ZOE-M8Q";1;"ZOE-M8Q";;;
8;"JP202,JP201";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"Jumper_3_Open";;;
9;"U104";"LGA-12_2x2mm_P0.5mm";1;"KX122-1042";;;
10;"X8001";"uFL";1;"SMACONNECTOR";;;
11;"C101";"C_0805_2012Metric";1;"10 nF";;;
12;"C104,C102,C103";"C_0805_2012Metric";3;"100 nF";;;
13;"C106,C108,C107";"C_0805_2012Metric";3;"C_Small";;;
14;"C302";"C_0805_2012Metric";1;"0.1uF";;;
15;"G***";"Amogus";1;"LOGO";;;
16;"C301";"C_0805_2012Metric";1;"10uF";;;
17;"C105";"C_0805_2012Metric";1;"10 uF";;;
