Comment,Designator,Footprint,JLCPCB Part #
100n,"C5,C117,C113,C115,C109,C119,C110,C118",C_0402_1005Metric,C307331
,,,
,,,
Micro_SD_Card,J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,C114218
1k,R5,R_0402_1005Metric,C11702
USB_B_Micro,J4,USB_Micro-B_Amphenol_10104110_Horizontal,
LOAD_C,"C120,C121",C_0402_1005Metric,C32949
100n,"C114,C116",R_0402_1005Metric,C307331
W25Q128JVS,U_301,SOIC-8_5.23x5.23mm_P1.27mm,C97521
,,,
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
27.4,"R_302,R1",R_0402_1005Metric,C25105
1k,R3,R_0402_1005Metric,C11702
Jumper,JP4,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,
1u,"C111,C112",C_0402_1005Metric,C52923
RP2040_chip,U3,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,C2040
,,,
100 nF,"C122,C105,C104,C108",C_0805_2012Metric,
1uF,"C124,C123",C_0805_2012Metric,
10 nF,C107,C_0805_2012Metric,
10 uF,C106,C_0805_2012Metric,
0.1uF,C103,C_0805_2012Metric,
10nF,C125,C_0805_2012Metric,
10k,"R101,R102",R_0805_2012Metric,
Jumper_NC_Small,"JP3,JP1,JP2",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
H3LIS331DL,U1,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,
100nF,C101,C_0805_2012Metric,
10uF,C102,C_0805_2012Metric,
LD3985M33R_SOT23,U5,SOT-23-5,
MS5611-01BA,U4,LGA-8_3x5mm_P1.25mm,
LSM9DS1,U2,LGA-24L_3x3.5mm_P0.43mm,
