Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100nF","C_0805_2012Metric",-160.848000,-99.060000,0.000000,bottom
"C102","10uF","C_0805_2012Metric",-177.370000,-105.090000,-90.000000,bottom
"C103","0.1uF","C_0805_2012Metric",-179.800000,-105.300000,-90.000000,bottom
"C104","100 nF","C_0805_2012Metric",-152.475000,-106.950000,-90.000000,bottom
"C105","100 nF","C_0805_2012Metric",-152.146000,-100.584000,0.000000,bottom
"C106","10 uF","C_0805_2012Metric",-149.400000,-100.075000,90.000000,bottom
"C107","10 nF","C_0805_2012Metric",-146.400000,-100.450000,90.000000,bottom
"C108","100 nF","C_0805_2012Metric",-152.334000,-102.870000,0.000000,bottom
"C122","100 nF","C_0805_2012Metric",-157.770000,-99.880000,90.000000,bottom
"C123","1uF","C_0805_2012Metric",-146.550000,-108.250000,90.000000,bottom
"C124","1uF","C_0805_2012Metric",-141.800000,-105.225000,90.000000,bottom
"C125","10nF","C_0805_2012Metric",-143.875000,-112.850000,180.000000,bottom
"R101","10k","R_0805_2012Metric",-148.100000,-112.400000,90.000000,bottom
"R102","10k","R_0805_2012Metric",-150.000000,-112.400000,90.000000,bottom
"U1","H3LIS331DL","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",-179.578000,-100.076000,90.000000,bottom
"U2","LSM9DS1","LGA-24L_3x3.5mm_P0.43mm",-148.142500,-104.407500,180.000000,bottom
"U4","MS5611-01BA","LGA-8_3x5mm_P1.25mm",-165.446000,-101.151500,-90.000000,bottom
"U5","LD3985M33R_SOT23","SOT-23-5",-143.150000,-109.850000,180.000000,bottom
