Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LiPo","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",151.120000,-96.510000,180.000000,top
"C5","100n","C_0402_1005Metric",159.390000,-100.220000,180.000000,top
"C109","100n","C_0402_1005Metric",180.675000,-104.650000,0.000000,top
"C110","100n","C_0402_1005Metric",167.200000,-108.204000,180.000000,top
"C111","1u","C_0402_1005Metric",169.325000,-103.225000,90.000000,top
"C112","1u","C_0402_1005Metric",170.000000,-101.750000,180.000000,top
"C113","100n","C_0402_1005Metric",167.450000,-106.125000,180.000000,top
"C114","100n","R_0402_1005Metric",182.600000,-105.850000,0.000000,top
"C115","100n","C_0402_1005Metric",172.450000,-111.600000,-90.000000,top
"C116","100n","R_0402_1005Metric",175.050000,-111.700000,-90.000000,top
"C117","100n","C_0402_1005Metric",171.575000,-100.800000,90.000000,top
"C118","100n","C_0402_1005Metric",173.175000,-101.075000,180.000000,top
"C119","100n","C_0402_1005Metric",165.500000,-106.210000,180.000000,top
"C120","LOAD_C","C_0402_1005Metric",190.600000,-100.800000,-90.000000,top
"C121","LOAD_C","C_0402_1005Metric",185.050000,-100.875000,90.000000,top
"J1","RP Header 16 pin","PinHeader_1x16_P2.54mm_Vertical",185.925000,-116.425000,-90.000000,top
"J2","RP Header 12 pin","PinHeader_1x12_P2.54mm_Vertical",157.322600,-97.002600,90.000000,top
"J3","Micro_SD_Card","microSD_HC_Hirose_DM3AT-SF-PEJM5",149.515000,-106.670000,-90.000000,top
"J4","USB_B_Micro","USB_Micro-B_Amphenol_10104110_Horizontal",188.375000,-108.625000,90.000000,top
"R1","27.4","R_0402_1005Metric",166.825000,-103.625000,0.000000,top
"R2","DNF","R_0402_1005Metric",158.910000,-113.460000,-90.000000,top
"R3","R","R_0402_1005Metric",160.590000,-114.100000,180.000000,top
"R5","1k","C_0402_1005Metric",180.650000,-106.500000,0.000000,top
"R_302","27.4","R_0402_1005Metric",166.878000,-104.750000,0.000000,top
"U3","RP2040_chip","QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm",175.075000,-106.000000,90.000000,top
"U_301","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",161.650000,-105.450000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",187.700000,-101.100000,0.000000,top
