"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2";"R_0402_1005Metric";1;"DNF";;;
2;"C5,C117,C113,C115,C109,C119,C110,C118";"C_0402_1005Metric";8;"100n";;;
3;"J2";"PinHeader_1x12_P2.54mm_Vertical";1;"RP Header 12 pin";;;
4;"JP_301";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper";;;
5;"J3";"microSD_HC_Hirose_DM3AT-SF-PEJM5";1;"Micro_SD_Card";;;
6;"R5";"C_0402_1005Metric";1;"1k";;;
7;"J4";"USB_Micro-B_Amphenol_10104110_Horizontal";1;"USB_B_Micro";;;
8;"C120,C121";"C_0402_1005Metric";2;"LOAD_C";;;
9;"C114,C116";"R_0402_1005Metric";2;"100n";;;
10;"U_301";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
11;"BT1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"LiPo";;;
12;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24";;;
13;"R_302,R1";"R_0402_1005Metric";2;"27.4";;;
14;"R3";"R_0402_1005Metric";1;"R";;;
15;"JP4";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"Jumper";;;
16;"C111,C112";"C_0402_1005Metric";2;"1u";;;
17;"U3";"QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm";1;"RP2040_chip";;;
18;"J1";"PinHeader_1x16_P2.54mm_Vertical";1;"RP Header 16 pin";;;
19;"C122,C105,C104,C108";"C_0805_2012Metric";4;"100 nF";;;
20;"C124,C123";"C_0805_2012Metric";2;"1uF";;;
21;"C107";"C_0805_2012Metric";1;"10 nF";;;
22;"C106";"C_0805_2012Metric";1;"10 uF";;;
23;"C103";"C_0805_2012Metric";1;"0.1uF";;;
24;"C125";"C_0805_2012Metric";1;"10nF";;;
25;"R101,R102";"R_0805_2012Metric";2;"10k";;;
26;"JP3,JP1,JP2";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";3;"Jumper_NC_Small";;;
27;"U1";"LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y";1;"H3LIS331DL";;;
28;"C101";"C_0805_2012Metric";1;"100nF";;;
29;"C102";"C_0805_2012Metric";1;"10uF";;;
30;"U5";"SOT-23-5";1;"LD3985M33R_SOT23";;;
31;"U4";"LGA-8_3x5mm_P1.25mm";1;"MS5611-01BA";;;
32;"U2";"LGA-24L_3x3.5mm_P0.43mm";1;"LSM9DS1";;;
