Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Rff,Vishay-Dale,CRCW04024K99FKED,1,0.01,3,Resistance: 4.99 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cff,MuRata,GRM1555C1E5R1CA01D,1,0.01,3,Cap: 5.1 pF  Total Derated Cap: 5.1 pF  VDC: 25 V  ESR: 1 mΩ  Package: 0402  
Cin,MuRata,GRM32ER71H106KA12L,1,0.47,14.7,Cap: 10 µF  Total Derated Cap: 5.2 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
Cboot,MuRata,GRM155R71A104KA01D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 10 V  ESR: 1 mΩ  Package: 0402  
L1,TDK,VLP8040T-2R2N,1,0.22,113.42,L: 2.2 µH  DCR: 15 mΩ  IDC: 6.7 A  
Cinx1,TDK,C1608X5R1H105K080AB,1,0.03,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 50 V  ESR: 5.52 mΩ  Package: 0603  
Cout,MuRata,GRM32ER61E226KE15L,1,0.23,14.7,Cap: 22 µF  Total Derated Cap: 10 µF  VDC: 25 V  ESR: 2 mΩ  Package: 1210  
U1,Texas Instruments,LM62460RPHR,1,1.705,24.75,
Cvcc,MuRata,GRM188R60J105KA01D,1,0.01,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 6.3 V  ESR: 6.07 mΩ  Package: 0  
Cin1,MuRata,GRM32ER71H106KA12L,1,0.47,14.7,Cap: 10 µF  Total Derated Cap: 5.2 µF  VDC: 50 V  ESR: 1 mΩ  Package: 1210  
Cinx,TDK,C1608X5R1H105K080AB,1,0.03,4.68,Cap: 1 µF  Total Derated Cap: 1 µF  VDC: 50 V  ESR: 5.52 mΩ  Package: 0603  
Rfbt,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbb,Yageo,RC0603FR-079K09L,1,0.01,4.68,Resistance: 9.09 kΩ  Tolerance: 1.0%  Power: 100 mW  
Cbias,MuRata,GRM155R71C104KA88D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Rreset,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
