Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Rfbb,Vishay-Dale,CRCW04021K58FKED,1,0.01,3,Resistance: 1.58 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rfbt,Yageo,RC0603FR-0730KL,1,0.01,4.68,Resistance: 30 kΩ  Tolerance: 1.0%  Power: 100 mW  
Rmode,Vishay-Dale,CRCW040230K1FKED,1,0.01,3,Resistance: 30.1 kΩ  Tolerance: 1.0%  Power: 63 mW  
Rpg,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cin,TDK,CGA6P3X7S1H106K250AB,2,0.31,14.7,Cap: 10 µF  Total Derated Cap: 8.9 µF  VDC: 50 V  ESR: 2.83 mΩ  Package: 1210_280  
Cout,TDK,C3216X5R1E476M160AC,2,0.35,10.92,Cap: 47 µF  Total Derated Cap: 12 µF  VDC: 25 V  ESR: 2.08 mΩ  Package: 1206  
L1,Coilcraft,XAL6060-472MEB,1,0.82,71.56,L: 4.7 µH  DCR: 13.1 mΩ  IDC: 10.5 A  
Cboot,MuRata,GRM155R71C104KA88D,1,0.01,3,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
Cinx,MuRata,GRM21BR71H104KA01L,1,0.03,6.75,Cap: 100 nF  Total Derated Cap: 87 nF  VDC: 50 V  ESR: 1 mΩ  Package: 0805  
U1,Texas Instruments,TPS56837HRPAR,1,0.92,16,
Cff,Kemet,C0603C151K3GACTU,1,0.02,4.68,Cap: 150 pF  Total Derated Cap: 150 pF  VDC: 25 V  ESR: 0 Ω  Package: 0603  
Css,MuRata,GRM155R71C223KA01D,1,0.01,3,Cap: 22 nF  Total Derated Cap: 22 nF  VDC: 16 V  ESR: 1 mΩ  Package: 0402  
