Part,Manufacturer,Part Number,Quantity,Price ($),Footprint (mm²),Description
Rfbb,Yageo,RC0201FR-0710KL,1,0.01,2.08,Resistance: 10 kΩ  Tolerance: 1.0%  Power: 50 mW  
Rfbt,Panasonic,ERJ-6ENF7322V,1,0.01,6.75,Resistance: 73.2 kΩ  Tolerance: 1.0%  Power: 125 mW  
Cinx,MuRata,GRM188R71H104KA93D,1,0.02,4.68,Cap: 100 nF  Total Derated Cap: 82 nF  VDC: 50 V  ESR: 20 mΩ  Package: 0603  
U1,Texas Instruments,TPS56637RPAR,1,0.8,16,
Rpg,Vishay-Dale,CRCW0402100KFKED,1,0.01,3,Resistance: 100 kΩ  Tolerance: 1.0%  Power: 63 mW  
Cin,TDK,C2012X5R1H475K125AB,3,0.12,6.75,Cap: 4.7 µF  Total Derated Cap: 2.8 µF  VDC: 50 V  ESR: 1 mΩ  Package: 0805  
Cout,MuRata,GRM32ER61C476KE15L,1,0.17,14.7,Cap: 47 µF  Total Derated Cap: 32 µF  VDC: 16 V  ESR: 3.04 mΩ  Package: 1210  
L1,Coilcraft,XAL7070-332MEB,1,1.19,87.4,L: 3.3 µH  DCR: 8.6 mΩ  IDC: 15.1 A  
Cboot,AVX,08053C104KAT2A,1,0.01,6.75,Cap: 100 nF  Total Derated Cap: 100 nF  VDC: 25 V  ESR: 280 mΩ  Package: 0805  
Cff,Kemet,C0201C101K3GACTU,1,0.01,2.08,Cap: 100 pF  Total Derated Cap: 100 pF  VDC: 10 V  ESR: 0 Ω  Package: 0201  
Rff,Vishay-Dale,CRCW040220K0FKED,1,0.01,3,Resistance: 20 kΩ  Tolerance: 1.0%  Power: 63 mW  
