Ref,Val,Package,PosX,PosY,Rot,Side
A1,ADA3708,ADA3708_RPI-ZERO,70.358,-86.614,180,top
C1,TPSD336M020R0200,2917 (7343 Metric),89,-127,90,top
C2,TPSD336M020R0200,2917 (7343 Metric),91.186,-116.205,90,top
C3,CC0603KRX7R9BB104,C_0603_1608Metric,55.494,-184.939501,180,top
C4,C0603C472J5RACTU,C_0603_1608Metric,60.701,-179.27,90,top
C5,C0603C472J5RACTU,C_0603_1608Metric,62.225,-175.955,180,top
C6,C0805C102J5GACTU,C_0805_2012Metric,67.31,-117,-90,top
C7,CL10A226MP8NUNE,C_0603_1608Metric,51,-184,0,top
C8,CL10A226MP8NUNE,C_0603_1608Metric,57.526,-177.573501,180,top
C9,TPSD336M020R0200,2917 (7343 Metric),63.627,-121.92,-90,top
C10,CC0805KRX7R9BB104,C_0805_2012Metric,73.05,-113.5,180,top
C11,GRM31M5C1H473JA01L,C_1206_3216Metric,77.5,-114,180,top
C12,TPSD336M020R0200,2917 (7343 Metric),96,-101.5,90,top
C13,TMK107B7474KA-TR,C_0603_1608Metric,91.186,-95.771,-90,top
C14,CL10B105KA8NNNC,C_0603_1608Metric,66.04,-162.954,-90,top
C15,CC0603KRX7R9BB104,C_0603_1608Metric,44.5,-165.5,-90,top
C16,CC0603KRX7R9BB104,C_0603_1608Metric,55.735,-180.367501,0,top
C17,GRM188R61E225KA12D,C_0603_1608Metric,63.622,-182.653501,180,top
C18,CL10A226MP8NUNE,C_0603_1608Metric,61.874,-173.255501,90,top
C19,CL10A226MP8NUNE,C_0603_1608Metric,64.384,-173.255501,90,top
C20,TMK107B7474KA-TR,C_0603_1608Metric,72.263,-167.907,-90,top
C21,TPSD336M020R0200,2917 (7343 Metric),58.166,-121.92,-90,top
C22,CC0603KRX7R9BB104,C_0603_1608Metric,70.231,-161.404,90,top
C23,CC0603KRX7R9BB104,C_0603_1608Metric,45.466,-135.382,0,top
C24,CC0603KRX7R9BB104,C_0603_1608Metric,101.346,-153.924,90,top
C25,CC0603KRX7R9BB104,C_0603_1608Metric,87.249,-112.395,90,top
C26,CC0603KRX7R9BB104,C_0603_1608Metric,85.09,-166.116,90,top
C27,CC0603KRX7R9BB104,C_0603_1608Metric,89.789,-166.878,-90,top
C28,CC0603KRX7R9BB104,C_0603_1608Metric,77.343,-144.653,90,top
C29,CC0603KRX7R9BB104,C_0603_1608Metric,70.358,-147.574,90,top
C30,CC0603KRX7R9BB104,C_0603_1608Metric,96.266,-135.636,180,top
C31,CC0603KRX7R9BB104,C_0603_1608Metric,89.916,-133.096,0,top
C32,CC0603KRX7R9BB104,C_0603_1608Metric,45.225,-152.908,0,top
C33,CC0603KRX7R9BB104,C_0603_1608Metric,54.877,-155.067,180,top
C34,GRM188R61E225KA12D,C_0603_1608Metric,41.5,-166,0,top
C35,C0603C104K5RACTU,C_0603_1608Metric,27.318,-98.044,180,top
C36,CL10A475KO8NNNC,C_0603_1608Metric,27.331,-100.076,180,top
C37,CL31B475KBHNNNE,C_1206_3216Metric,45,-159.025,-90,top
C38,CL31B475KBHNNNE,C_1206_3216Metric,49.525,-162,0,top
C39,CC0603KRX7R9BB104,C_0603_1608Metric,53.5,-169,0,top
CR1,"CUS08F30,H3F",USC_TOS,80.264,-163.83,-90,top
CR2,"CUS08F30,H3F",USC_TOS,75.692,-153.924,-90,top
CR3,"CUS08F30,H3F",USC_TOS,75,-172.5,180,top
CR4,"CUS08F30,H3F",USC_TOS,56.5,-172.5,0,top
CR5,"CUS08F30,H3F",USC_TOS,59,-169.5,180,top
CR6,"CUS08F30,H3F",USC_TOS,79,-168,-90,top
CR7,"CUS08F30,H3F",USC_TOS,81.5,-160,180,top
CR8,"CUS08F30,H3F",USC_TOS,73.5,-152,-90,top
D3,SS12,DO-214AC (SMA),82.885,-130.5,180,top
J1,TB007-508-16BE,CONN16_TB007-508_CUD,30.226,-181.08,90,top
J2,TB007-508-16BE,CONN16_TB007-508_CUD,112.940253,-105.839253,-90,top
J3,USB1130-15-A,GCT_USB1130-15-A_REVA,114.808,-93.887,90,top
J4,B16B-PH-SM4-TB,CONN_B16B-PH-SM4-TB_JST,65,-101.744801,180,top
J5,TB007-508-04BE,CUI_TB007-508-04BE,100.838,-187.198,180,top
J6,B3B-PH-SM4-TB,CONN_B3B-PH-SM4-TB_03P_JST,64.999999,-111.251964,0,top
J7,TB007-508-04BE,CUI_TB007-508-04BE,27.26,-190,0,top
J8,B2B-PH-SM4-TBLFSN,CONN_B2B-PH-SM4-TBLFSN_JST,97.744801,-164.5,-90,top
J10,B2P-VHLFSN,CONN_B2P-VH_JST,79.460001,-182,180,top
L2,18uH,IND_BOURNS_SRR6038,80.772,-124.3965,-90,top
L3,744311220,IND_7040-WE-HCI_WRE,61.5,-189.5,180,top
L4,LQH55DN100M03L,IND_LQH55DN100M03L,45.5,-173.5,0,top
R1,RC0603JR-07330KL,R_0603_1608Metric,61.59,-184.685501,0,top
R2,CRCW0603110KFKEA,R_0603_1608Metric,54.161,-182.145501,180,top
R3,RMCF0603FT100K,R_0603_1608Metric,77.675,-171,180,top
R4,ERA-3AEB304V,R_0603_1608Metric,81.175,-171,180,top
R5,RC0603FR-0717K4L,R_0603_1608Metric,63.495,-179.32,90,top
R6,RC0603FR-07634RL,R_0603_1608Metric,73.66,-136.144,180,top
R7,RT0603BRD07312KL,R_0603_1608Metric,66.543,-176.73,-90,top
R8,RMCF0603FT100K,R_0603_1608Metric,66.543,-181.048,-90,top
R9,RC0603FR-0710KL,R_0603_1608Metric,52.07,-131.636,90,top
R10,RC0603FR-0710KL,R_0603_1608Metric,92.202,-156.909,-90,top
R11,RC0603FR-07976RL,R_0603_1608Metric,53.175,-175,0,top
R12,RC0603FR-0747KL,R_0603_1608Metric,76.675,-135.5,0,top
R13,RN73H1JTTD1760D25,R_0603_1608Metric,92.202,-172.657,-90,top
R14,RC0603FR-0747KL,R_0603_1608Metric,70.675,-135.5,0,top
R15,ERA-3ARB202V,R_0603_1608Metric,51,-179,-90,top
R17,AC0603FR-079K1L,R_0603_1608Metric,46.5,-169.5,0,top
R18,RMCF0603FT499R,R_0603_1608Metric,50,-168.5,90,top
R19,RC0603JR-070RL,R_0603_1608Metric,78.175,-107.5,180,top
R20,RC0603JR-070RL,R_0603_1608Metric,75,-110,0,top
TP1,TestPoint,TestPoint_Loop_D3.80mm_Drill2.0mm,106.172,-91.567,90,top
TP2,TestPoint,TestPoint_Loop_D3.80mm_Drill2.0mm,106.299,-86.741,0,top
TP3,TestPoint,TestPoint_Loop_D3.80mm_Drill2.0mm,96.774,-114.808,0,top
TP4,TestPoint,TestPoint_Loop_D3.80mm_Drill2.0mm,96,-177,0,top
TP5,TestPoint,TestPoint_Loop_D3.80mm_Drill2.0mm,69.464,-183.669501,0,top
TP6,TestPoint,TestPoint_Loop_D3.80mm_Drill2.0mm,97.663,-126.111,0,top
TP8,TestPoint,TestPoint_Loop_D3.80mm_Drill2.0mm,43,-180.5,0,top
U1,TPS61089RNRR,11-VQFN-HR (2.5x2),58.669,-183.068001,180,top
U2,INA819ID,"8-SOIC (0.154"", 3.90mm Width)",73.533,-141.29385,-90,top
U3,MUX507IDWR,"28-SOIC (0.295"", 7.50mm Width)",53.9369,-144.399,180,top
U4,ADC124S051CIMMX/NOPB,10-VSSOP,73.152,-159.512,90,top
U5,LM2664M6X/NOPB,SOT-23-6,86.36,-116.586,90,top
U6,MUX507IDWR,"28-SOIC (0.295"", 7.50mm Width)",88.467353,-143.558253,0,top
U7,TMP126NDCKR,SC-70-6,103.632,-150.114,-90,top
U8,TMP126NDCKR,SC-70-6,41.275,-137.16,-90,top
U9,REF3133AIDBZR,SOT-23-3,69.088,-165.034001,90,top
U10,TPS6734IDR,"8-SOIC (0.154"", 3.90mm Width)",71.374,-118.618,-90,top
U11,INA819ID,"8-SOIC (0.154"", 3.90mm Width)",87.884,-172.466,90,top
U12,LM3940IMP-3.3/NOPB,SOT-223-4,88.9,-103.378,180,top
U13,MIC2601YML-TR,8-MLF® (2x2),47.4525,-166.249999,0,top
U14,B360A-13-F,B360A-13-F_DIO,53,-165,0,top
U15,LPS25HBTR,10-LLGA (2.5x2.5),28.448,-94.869,90,top
